exp_paper,subject,block,repetition,graph
Exp1,1,1,1,1
Exp1,1,1,2,1
Exp1,1,2,1,2
Exp1,1,2,2,2
Exp1,1,3,1,6
Exp1,1,3,2,6
Exp1,1,4,1,49
Exp1,1,4,2,49
Exp1,1,5,1,11
Exp1,1,5,2,11
Exp1,1,6,1,10
Exp1,1,6,2,10
Exp1,1,7,1,22
Exp1,1,7,2,22
Exp1,1,8,1,8
Exp1,1,8,2,8
Exp1,1,9,1,39
Exp1,1,9,2,39
Exp1,2,1,1,1
Exp1,2,1,2,1
Exp1,2,2,1,2
Exp1,2,2,2,2
Exp1,2,3,1,6
Exp1,2,3,2,6
Exp1,2,4,1,49
Exp1,2,4,2,49
Exp1,2,5,1,11
Exp1,2,5,2,11
Exp1,2,6,1,12
Exp1,2,6,2,10
Exp1,2,7,1,54
Exp1,2,7,2,54
Exp1,2,8,1,16
Exp1,2,8,2,16
Exp1,2,9,1,64
Exp1,2,9,2,64
Exp1,3,1,1,1
Exp1,3,1,2,1
Exp1,3,2,1,2
Exp1,3,2,2,2
Exp1,3,3,1,6
Exp1,3,3,2,6
Exp1,3,4,1,49
Exp1,3,4,2,17
Exp1,3,5,1,11
Exp1,3,5,2,11
Exp1,3,6,1,10
Exp1,3,6,2,10
Exp1,3,7,1,22
Exp1,3,7,2,50
Exp1,3,8,1,14
Exp1,3,8,2,7
Exp1,3,9,1,26
Exp1,3,9,2,55
Exp1,4,1,1,1
Exp1,4,1,2,1
Exp1,4,2,1,2
Exp1,4,2,2,2
Exp1,4,3,1,6
Exp1,4,3,2,6
Exp1,4,4,1,49
Exp1,4,4,2,49
Exp1,4,5,1,11
Exp1,4,5,2,11
Exp1,4,6,1,10
Exp1,4,6,2,10
Exp1,4,7,1,22
Exp1,4,7,2,38
Exp1,4,8,1,14
Exp1,4,8,2,8
Exp1,4,9,1,39
Exp1,4,9,2,26
Exp1,5,1,1,1
Exp1,5,1,2,1
Exp1,5,2,1,2
Exp1,5,2,2,2
Exp1,5,3,1,6
Exp1,5,3,2,6
Exp1,5,4,1,49
Exp1,5,4,2,49
Exp1,5,5,1,11
Exp1,5,5,2,11
Exp1,5,6,1,13
Exp1,5,6,2,10
Exp1,5,7,1,54
Exp1,5,7,2,22
Exp1,5,8,1,6
Exp1,5,8,2,13
Exp1,5,9,1,26
Exp1,5,9,2,40
Exp1,6,1,1,1
Exp1,6,1,2,1
Exp1,6,2,1,2
Exp1,6,2,2,2
Exp1,6,3,1,6
Exp1,6,3,2,6
Exp1,6,4,1,49
Exp1,6,4,2,49
Exp1,6,5,1,11
Exp1,6,5,2,11
Exp1,6,6,1,10
Exp1,6,6,2,10
Exp1,6,7,1,54
Exp1,6,7,2,54
Exp1,6,8,1,16
Exp1,6,8,2,16
Exp1,6,9,1,64
Exp1,6,9,2,64
Exp1,7,1,1,1
Exp1,7,1,2,1
Exp1,7,2,1,2
Exp1,7,2,2,2
Exp1,7,3,1,6
Exp1,7,3,2,6
Exp1,7,4,1,49
Exp1,7,4,2,49
Exp1,7,5,1,11
Exp1,7,5,2,11
Exp1,7,6,1,10
Exp1,7,6,2,12
Exp1,7,7,1,54
Exp1,7,7,2,54
Exp1,7,8,1,16
Exp1,7,8,2,16
Exp1,7,9,1,64
Exp1,7,9,2,64
Exp1,8,1,1,1
Exp1,8,1,2,1
Exp1,8,2,1,2
Exp1,8,2,2,2
Exp1,8,3,1,5
Exp1,8,3,2,5
Exp1,8,4,1,37
Exp1,8,4,2,49
Exp1,8,5,1,25
Exp1,8,5,2,11
Exp1,8,6,1,10
Exp1,8,6,2,25
Exp1,8,7,1,37
Exp1,8,7,2,7
Exp1,8,8,1,7
Exp1,8,8,2,8
Exp1,8,9,1,37
Exp1,8,9,2,35
Exp1,9,1,1,1
Exp1,9,1,2,1
Exp1,9,2,1,2
Exp1,9,2,2,2
Exp1,9,3,1,16
Exp1,9,3,2,6
Exp1,9,4,1,49
Exp1,9,4,2,49
Exp1,9,5,1,11
Exp1,9,5,2,11
Exp1,9,6,1,12
Exp1,9,6,2,10
Exp1,9,7,1,54
Exp1,9,7,2,54
Exp1,9,8,1,16
Exp1,9,8,2,54
Exp1,9,9,1,26
Exp1,9,9,2,26
Exp1,10,1,1,1
Exp1,10,1,2,1
Exp1,10,2,1,2
Exp1,10,2,2,2
Exp1,10,3,1,6
Exp1,10,3,2,6
Exp1,10,4,1,1
Exp1,10,4,2,49
Exp1,10,5,1,3
Exp1,10,5,2,11
Exp1,10,6,1,10
Exp1,10,6,2,25
Exp1,10,7,1,38
Exp1,10,7,2,54
Exp1,10,8,1,6
Exp1,10,8,2,7
Exp1,10,9,1,12
Exp1,10,9,2,64
Exp1,11,1,1,1
Exp1,11,1,2,1
Exp1,11,2,1,2
Exp1,11,2,2,2
Exp1,11,3,1,6
Exp1,11,3,2,5
Exp1,11,4,1,49
Exp1,11,4,2,49
Exp1,11,5,1,11
Exp1,11,5,2,11
Exp1,11,6,1,10
Exp1,11,6,2,10
Exp1,11,7,1,38
Exp1,11,7,2,54
Exp1,11,8,1,16
Exp1,11,8,2,14
Exp1,11,9,1,26
Exp1,11,9,2,64
Exp1,12,1,1,1
Exp1,12,1,2,1
Exp1,12,2,1,2
Exp1,12,2,2,2
Exp1,12,3,1,6
Exp1,12,3,2,6
Exp1,12,4,1,49
Exp1,12,4,2,49
Exp1,12,5,1,11
Exp1,12,5,2,11
Exp1,12,6,1,12
Exp1,12,6,2,12
Exp1,12,7,1,8
Exp1,12,7,2,54
Exp1,12,8,1,16
Exp1,12,8,2,16
Exp1,12,9,1,64
Exp1,12,9,2,64
Exp1,13,1,1,1
Exp1,13,1,2,1
Exp1,13,2,1,2
Exp1,13,2,2,2
Exp1,13,3,1,6
Exp1,13,3,2,6
Exp1,13,4,1,49
Exp1,13,4,2,49
