exp_paper,block,graph,subject_rel,BSL,Broken link,Fewlinks,Symmetry,Fitted,LSL
Exp1,1,1,1,1,1,1,1,1,0.999980467112297
Exp1,1,2,0,0,0,0,0,0,3.25545478824385e-06
Exp1,1,3,0,0,0,0,0,0,3.25545478824385e-06
Exp1,1,4,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,5,0,0,0,0,0,0,3.25545478824385e-06
Exp1,1,6,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,7,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,8,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,9,0,0,0,0,0,0,3.25545478824385e-06
Exp1,1,10,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,11,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,12,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,13,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,14,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,15,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,16,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,17,0,0,0,0,0,0,3.25545478824385e-06
Exp1,1,18,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,19,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,20,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,21,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,22,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,23,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,24,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,25,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,26,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,27,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,28,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,29,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,30,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,31,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,32,0,0,0,0,0,0,3.65672477032849e-28
Exp1,1,33,0,0,0,0,0,0,3.25545478824385e-06
Exp1,1,34,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,35,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,36,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,37,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,38,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,39,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,40,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,41,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,42,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,43,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,44,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,45,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,46,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,47,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,48,0,0,0,0,0,0,3.65672477032849e-28
Exp1,1,49,0,0,0,0,0,0,1.05981928916114e-11
Exp1,1,50,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,51,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,52,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,53,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,54,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,55,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,56,0,0,0,0,0,0,3.65672477032849e-28
Exp1,1,57,0,0,0,0,0,0,3.45026117313686e-17
Exp1,1,58,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,59,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,60,0,0,0,0,0,0,3.65672477032849e-28
Exp1,1,61,0,0,0,0,0,0,1.12323886577665e-22
Exp1,1,62,0,0,0,0,0,0,3.65672477032849e-28
Exp1,1,63,0,0,0,0,0,0,3.65672477032849e-28
Exp1,1,64,0,0,0,0,0,0,1.19045346927951e-33
Exp1,2,1,0.0138888888888889,0,0,0,1e-05,0,0.16902696713762
Exp1,2,2,0.944444444444444,1,1,1,0.99999,1,0.830947262438399
Exp1,2,3,0,0,0,0,0,0,5.50270397880389e-07
Exp1,2,4,0.0138888888888889,0,0,0,0,0,2.70516408394947e-06
Exp1,2,5,0.0138888888888889,0,0,0,0,0,2.70516408394947e-06
Exp1,2,6,0,0,0,0,0,0,1.32987577548754e-05
Exp1,2,7,0,0,0,0,0,0,8.80671139058321e-12
Exp1,2,8,0,0,0,0,0,0,4.32943502744861e-11
Exp1,2,9,0,0,0,0,0,0,1.79141539312426e-12
Exp1,2,10,0,0,0,0,0,0,8.80671139058322e-12
Exp1,2,11,0,0,0,0,0,0,5.83198573480256e-18
Exp1,2,12,0,0,0,0,0,0,2.86704107810699e-17
Exp1,2,13,0,0,0,0,0,0,2.86704107810699e-17
Exp1,2,14,0,0,0,0,0,0,1.40945552978641e-16
Exp1,2,15,0,0,0,0,0,0,9.33370492002527e-23
Exp1,2,16,0,0,0,0,0,0,4.58850838007884e-22
Exp1,2,17,0,0,0,0,0,0,5.50270397880389e-07
Exp1,2,18,0.0138888888888889,0,0,0,0,0,2.70516408394947e-06
Exp1,2,19,0,0,0,0,0,0,1.79141539312426e-12
Exp1,2,20,0,0,0,0,0,0,8.80671139058322e-12
Exp1,2,21,0,0,0,0,0,0,8.80671139058321e-12
Exp1,2,22,0,0,0,0,0,0,4.32943502744861e-11
Exp1,2,23,0,0,0,0,0,0,2.86704107810699e-17
